排名,股票代码,股票名称,综合评分,基本面评分,技术面评分,市场面评分,状态
1,300142,沃森生物,99.15121041074833,97.87802602687083,100.0,100.0,强烈推荐
2,000333,美的集团,98.9461132677869,98.24028316946722,99.00000000000001,100.0,强烈推荐
3,300750,宁德时代,98.5003586188709,98.43839654717723,97.50000000000001,100.0,强烈推荐
4,601328,交通银行,97.92134189222286,96.93097885598092,98.52261386872343,98.66414198310912,强烈推荐
5,601012,隆基绿能,97.63948613136226,96.73467286633812,99.93911870117762,95.86770175765942,强烈推荐
6,603986,兆易创新,97.02422104583253,100.0,95.5,94.39688418333014,强烈推荐
7,600519,贵州茅台,97.01435975431804,93.31407078410955,100.0,98.75492576269687,强烈推荐
8,002415,海康威视,97.00509776392806,92.51274440982014,100.0,100.0,强烈推荐
9,601988,中国银行,96.9002903076861,93.94850230883924,100.0,97.28355753660163,强烈推荐
10,002456,欧菲光,96.81310889653534,92.63300294085224,100.0,99.03963088077774,强烈推荐
11,688981,中芯国际,96.67467794251215,95.89854850694111,97.00000000000001,97.46103415894278,强烈推荐
12,601888,中国中免,96.37552021727541,90.93880054318852,100.0,100.0,强烈推荐
13,300347,泰格医药,96.29762056055846,98.04148920105676,100.0,88.32409952054303,强烈推荐
14,300015,爱尔眼科,96.26773690495074,96.12458916333442,97.97287407167616,94.10958125812124,强烈推荐
15,000568,泸州老窖,96.25590045085926,96.01292835203962,98.99940588152678,92.80374820603612,强烈推荐
16,300059,东方财富,96.18669484093853,92.1894750810416,100.0,97.24361923408755,强烈推荐
17,002594,比亚迪,95.23169475337919,89.09528264953076,99.34052206361966,99.2975958852,强烈推荐
18,601318,中国平安,95.10260134808212,89.70574007047408,97.77230091397851,100.0,强烈推荐
19,000858,五粮液,95.03798313238919,88.18244810242763,100.0,99.06001556567251,强烈推荐
20,002475,立讯精密,94.94452976701047,94.06830863427832,100.0,89.2688252531965,强烈推荐
